转换开始时间: 2026-02-10 09:12:23.709289
模式: hdict_to_voc
输入: E:/个人项目/halcon_2_voc/test/fj_td_test.hdict
输出: E:/个人项目/halcon_2_voc/test/test_xml
------------------------------------------------------------
[09:12:23] 读取 hdict: E:/个人项目/halcon_2_voc/test/fj_td_test.hdict
[09:12:23] 读取 hdict: E:/个人项目/halcon_2_voc/test/fj_td_test.hdict
[09:12:23] 读取到 10 个类别名称
[09:12:23] 读取到 10 个类别名称
[09:12:23] 共 300 个样本
[09:12:23] 共 300 个样本
[09:12:23] 生成: fdc_49_test_final_0017.xml （有标注，1 个框）
[09:12:23] 生成: fdc_49_test_final_0018.xml （有标注，1 个框）
[09:12:23] 生成: fdc_49_test_final_0018.xml （有标注，1 个框）
[09:12:23] 生成: fdc_49_test_final_0019.xml （有标注，5 个框）
[09:12:23] 生成: fdc_49_test_final_0019.xml （有标注，5 个框）
[09:12:23] 生成: fdc_49_test_final_0020.xml （有标注，6 个框）
[09:12:23] 生成: fdc_49_test_final_0020.xml （有标注，6 个框）
[09:12:23] 生成: fdc_49_test_final_0022.xml （有标注，1 个框）
[09:12:23] 生成: fdc_49_test_final_0022.xml （有标注，1 个框）
[09:12:23] 生成: fdc_49_test_final_0023.xml （有标注，1 个框）
[09:12:23] 生成: fdc_49_test_final_0023.xml （有标注，1 个框）
[09:12:23] 生成: fdc_49_test_final_0024.xml （有标注，3 个框）
[09:12:23] 生成: fdc_49_test_final_0024.xml （有标注，3 个框）
[09:12:23] 生成: fdc_49_test_final_0027.xml （有标注，4 个框）
[09:12:23] 生成: fdc_49_test_final_0027.xml （有标注，4 个框）
[09:12:23] 生成: fdc_49_test_final_0029.xml （有标注，2 个框）
[09:12:23] 生成: fdc_49_test_final_0029.xml （有标注，2 个框）
[09:12:23] 生成: fdc_49_test_final_0031.xml （有标注，3 个框）
[09:12:23] 生成: fdc_49_test_final_0031.xml （有标注，3 个框）
[09:12:23] 生成: fdc_49_test_final_0032.xml （有标注，1 个框）
[09:12:23] 生成: fdc_49_test_final_0032.xml （有标注，1 个框）
[09:12:23] 生成: fdc_49_test_final_0033.xml （有标注，1 个框）
[09:12:23] 生成: fdc_49_test_final_0033.xml （有标注，1 个框）
[09:12:23] 生成: fdc_49_test_final_0034.xml （有标注，1 个框）
[09:12:23] 生成: fdc_49_test_final_0034.xml （有标注，1 个框）
[09:12:23] 生成: fdc_49_test_final_0035.xml （有标注，2 个框）
[09:12:23] 生成: fdc_49_test_final_0035.xml （有标注，2 个框）
[09:12:23] 生成: fdc_49_test_final_0037.xml （有标注，3 个框）
[09:12:23] 生成: fdc_49_test_final_0037.xml （有标注，3 个框）
[09:12:23] 生成: fdc_49_test_final_0038.xml （无标注，0 个框）
[09:12:23] 生成: fdc_49_test_final_0038.xml （无标注，0 个框）
[09:12:23] 生成: fdc_49_test_final_0040.xml （无标注，0 个框）
[09:12:23] 生成: fdc_49_test_final_0040.xml （无标注，0 个框）
[09:12:23] 生成: fdc_49_test_final_0042.xml （有标注，1 个框）
[09:12:23] 生成: fdc_49_test_final_0042.xml （有标注，1 个框）
[09:12:23] 生成: fdc_49_test_final_0043.xml （有标注，1 个框）
[09:12:23] 生成: fdc_49_test_final_0043.xml （有标注，1 个框）
[09:12:23] 生成: fdc_49_test_final_0045.xml （有标注，1 个框）
[09:12:23] 生成: fdc_49_test_final_0045.xml （有标注，1 个框）
[09:12:23] 生成: fdc_49_test_final_0046.xml （有标注，1 个框）
[09:12:23] 生成: fdc_49_test_final_0046.xml （有标注，1 个框）
[09:12:23] 生成: jsyw_100_test_final_0001.xml （有标注，3 个框）
[09:12:23] 生成: jsyw_100_test_final_0001.xml （有标注，3 个框）
[09:12:23] 生成: jsyw_100_test_final_0003.xml （有标注，5 个框）
[09:12:23] 生成: jsyw_100_test_final_0003.xml （有标注，5 个框）
[09:12:23] 生成: jsyw_100_test_final_0004.xml （有标注，2 个框）
[09:12:23] 生成: jsyw_100_test_final_0004.xml （有标注，2 个框）
